"Part";"Value";"Device";"Package";"Description";"";
"5VREG";"REG1117";"REG1117";"SOT223";"800mA and 1A Low Dropout (LDO) Positive Regulator";"";
"ARST";"0.1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"C1";"100uF";"C2,5-3";"C2.5-3";"CAPACITOR";"";
"C2";"100uF";"C2,5-3";"C2.5-3";"CAPACITOR";"";
"C3";"0.1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"C4";"0.1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"C5";"0.1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"C6";"32pF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"C7";"32pF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"C9";"30pF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"C10";"30pF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"C11";"0.1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";
"J1";"USB2066-05-RBHM-XX-STB-00-00-A_REVD";"USB2066-05-RBHM-XX-STB-00-00-A_REVD";"GCT_USB2066-05-RBHM-XX-STB-00-00-A_REVD";"Mimi USB Receptacle, Type B, 5 Pin, SMT, Horizontal, Optional Post, 9.40mm Length Check availability";"";
"J2";"XT60-M";"XT60-M";"AMASS_XT60-M";"DC supply; XT60; male; PIN:2; for cable; soldered; 60A; 500V Check availability";"";
"P1";"S4B-XH-A(LF)(SN)";"S4B-XH-A(LF)(SN)";"JST_S4B-XH-A(LF)(SN)";"XH Series 4 Position 2.5 mm Through Hole Right Angle Press Fit Shrouded Header Check availability";"";
"P2";"S4B-XH-A(LF)(SN)";"S4B-XH-A(LF)(SN)";"JST_S4B-XH-A(LF)(SN)";"XH Series 4 Position 2.5 mm Through Hole Right Angle Press Fit Shrouded Header Check availability";"";
"P3";"S4B-XH-A(LF)(SN)";"S4B-XH-A(LF)(SN)";"JST_S4B-XH-A(LF)(SN)";"XH Series 4 Position 2.5 mm Through Hole Right Angle Press Fit Shrouded Header Check availability";"";
"Q1";"16MHz";"CRYSTALHC49S";"HC49/S";"CRYSTAL";"";
"Q2";"12MHz";"CRYSTALHC49S";"HC49/S";"CRYSTAL";"";
"R1";"";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R2";"";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R3";"";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R4";"1M";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R5";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R6";"1M";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"RESET";"TPB1,27";"TPB1,27";"B1,27";"Test pad";"";
"U1";"TMC2208_SILENTSTEPSTICK";"TMC2208_SILENTSTEPSTICK";"MODULE_TMC2208_SILENTSTEPSTICK";"TMC2208 Motor Controller/Driver, Stepper Power Management Evaluation Board  Check prices";"";
"U2";"TMC2208_SILENTSTEPSTICK";"TMC2208_SILENTSTEPSTICK";"MODULE_TMC2208_SILENTSTEPSTICK";"TMC2208 Motor Controller/Driver, Stepper Power Management Evaluation Board  Check prices";"";
"U3";"TMC2208_SILENTSTEPSTICK";"TMC2208_SILENTSTEPSTICK";"MODULE_TMC2208_SILENTSTEPSTICK";"TMC2208 Motor Controller/Driver, Stepper Power Management Evaluation Board  Check prices";"";
"U4";"ATMEGA328P-PU";"ATMEGA328P-PU";"DIP794W46P254L2967H457Q28B";"ATmega Series 20 MHz 32 KB Flash 2 KB SRAM 8-Bit Microcontroller - DIP-28 Check availability";"";
"U5";"CH340G";"CH340G";"SOIC127P600X180-16N";"Check availability";"";
