Part;Value;Device;Package
5VREG;REG1117;REG1117;SOT223
ARST;0.1uF;C-USC0805;C0805
C1;100uF;C2,5-3;C2.5-3
C2;100uF;C2,5-3;C2.5-3
C3;0.1uF;C-USC0805;C0805
C4;0.1uF;C-USC0805;C0805
C5;0.1uF;C-USC0805;C0805
C6;32pF;C-USC0805;C0805
C7;32pF;C-USC0805;C0805
C9;30pF;C-USC0805;C0805
C10;30pF;C-USC0805;C0805
C11;0.1uF;C-USC0805;C0805
J1;USB2066-05-RBHM-XX-STB-00-00-A_REVD;USB2066-05-RBHM-XX-STB-00-00-A_REVD;GCT_USB2066-05-RBHM-XX-STB-00-00-A_REVD
J2;XT60-M;XT60-M;AMASS_XT60-M
P1;S4B-XH-A(LF)(SN);S4B-XH-A(LF)(SN);JST_S4B-XH-A(LF)(SN)
P2;S4B-XH-A(LF)(SN);S4B-XH-A(LF)(SN);JST_S4B-XH-A(LF)(SN)
P3;S4B-XH-A(LF)(SN);S4B-XH-A(LF)(SN);JST_S4B-XH-A(LF)(SN)
Q1;16MHz;CRYSTALHC49S;HC49/S
Q2;12MHz;CRYSTALHC49S;HC49/S
R1;1k;R-US_R0805;R0805
R2;1k;R-US_R0805;R0805
R3;1k;R-US_R0805;R0805
R4;1M;R-US_R0805;R0805
R5;10k;R-US_R0805;R0805
R6;1M;R-US_R0805;R0805
U1;TMC2208_SILENTSTEPSTICK;TMC2208_SILENTSTEPSTICK;MODULE_TMC2208_SILENTSTEPSTICK
U2;TMC2208_SILENTSTEPSTICK;TMC2208_SILENTSTEPSTICK;MODULE_TMC2208_SILENTSTEPSTICK
U3;TMC2208_SILENTSTEPSTICK;TMC2208_SILENTSTEPSTICK;MODULE_TMC2208_SILENTSTEPSTICK
U4;ATMEGA328P-PU;ATMEGA328P-PU;DIP794W46P254L2967H457Q28B
U5;CH340G;CH340G;SOIC127P600X180-16N
